Category,Country_Province_FSA,Profile of FSA,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,counts
Religion,M1E,  Reformed Bodies,"Religion, Protestant",  Reformed Bodies,,,,,35.0
Religion,M1E,  Salvation Army,"Religion, Protestant",  Salvation Army,,,,,480.0
Religion,M1E,  Latter-day Saints (Mormons),"Religion, Protestant",  Latter-day Saints (Mormons),,,,,120.0
Religion,M1E,  Other Protestant,"Religion, Protestant",  Other Protestant,,,,,3170.0
Religion,M1E,Other Religions,Other Religions,,,,,,4320.0
Religion,M1E,  Eastern Orthodox,Other Religions,  Eastern Orthodox,,,,,1425.0
Religion,M1E,  Jewish,Other Religions,  Jewish,,,,,80.0
Religion,M1E,  Islam,Other Religions,  Islam,,,,,1245.0
Religion,M1E,  Buddhist,Other Religions,  Buddhist,,,,,270.0
Religion,M1E,  Hindu,Other Religions,  Hindu,,,,,1095.0
Religion,M1E,  Sikh,Other Religions,  Sikh,,,,,95.0
Religion,M1E,Other (other religions) (4),Other (other religions) (4),,,,,,110.0
Religion,M1E,No religious affiliation,No religious affiliation,,,,,,6305.0
Religion,M1G,"Religion, Catholic","Religion, Catholic",,,,,,7950.0
Religion,M1G,  Roman Catholic (3),"Religion, Catholic",  Roman Catholic (3),,,,,7885.0
Religion,M1G,  Ukrainian Catholic,"Religion, Catholic",  Ukrainian Catholic,,,,,60.0
Religion,M1G,"Religion, Protestant","Religion, Protestant",,,,,,10865.0
Religion,M1G,  United Church,"Religion, Protestant",  United Church,,,,,2605.0
Religion,M1G,  Anglican,"Religion, Protestant",  Anglican,,,,,3120.0
Religion,M1G,  Baptist,"Religion, Protestant",  Baptist,,,,,670.0
Religion,M1G,  Presbyterian,"Religion, Protestant",  Presbyterian,,,,,1400.0
Religion,M1G,  Lutheran,"Religion, Protestant",  Lutheran,,,,,370.0
Religion,M1G,  Pentecostal,"Religion, Protestant",  Pentecostal,,,,,550.0
Religion,M1G,  Mennonite,"Religion, Protestant",  Mennonite,,,,,30.0
Religion,M1G,  Jehovah's Witnesses,"Religion, Protestant",  Jehovah's Witnesses,,,,,30.0
Religion,M1G,  Reformed Bodies,"Religion, Protestant",  Reformed Bodies,,,,,0.0
Religion,M1G,  Salvation Army,"Religion, Protestant",  Salvation Army,,,,,105.0
Religion,M1G,  Latter-day Saints (Mormons),"Religion, Protestant",  Latter-day Saints (Mormons),,,,,50.0
Religion,M1G,  Other Protestant,"Religion, Protestant",  Other Protestant,,,,,1940.0
Religion,M1G,Other Religions,Other Religions,,,,,,4820.0
Religion,M1G,  Eastern Orthodox,Other Religions,  Eastern Orthodox,,,,,970.0
Religion,M1G,  Jewish,Other Religions,  Jewish,,,,,40.0
Religion,M1G,  Islam,Other Religions,  Islam,,,,,1870.0
Religion,M1G,  Buddhist,Other Religions,  Buddhist,,,,,165.0
Religion,M1G,  Hindu,Other Religions,  Hindu,,,,,1430.0
Religion,M1G,  Sikh,Other Religions,  Sikh,,,,,275.0
Religion,M1G,Other (other religions) (4),Other (other religions) (4),,,,,,65.0
Religion,M1G,No religious affiliation,No religious affiliation,,,,,,3650.0
Religion,M1H,"Religion, Catholic","Religion, Catholic",,,,,,4965.0
Religion,M1H,  Roman Catholic (3),"Religion, Catholic",  Roman Catholic (3),,,,,4945.0
Religion,M1H,  Ukrainian Catholic,"Religion, Catholic",  Ukrainian Catholic,,,,,15.0
Religion,M1H,"Religion, Protestant","Religion, Protestant",,,,,,5400.0
Religion,M1H,  United Church,"Religion, Protestant",  United Church,,,,,1625.0
Religion,M1H,  Anglican,"Religion, Protestant",  Anglican,,,,,1335.0
Religion,M1H,  Baptist,"Religion, Protestant",  Baptist,,,,,350.0
Religion,M1H,  Presbyterian,"Religion, Protestant",  Presbyterian,,,,,615.0
Religion,M1H,  Lutheran,"Religion, Protestant",  Lutheran,,,,,145.0
Religion,M1H,  Pentecostal,"Religion, Protestant",  Pentecostal,,,,,335.0
Religion,M1H,  Mennonite,"Religion, Protestant",  Mennonite,,,,,0.0
Religion,M1H,  Jehovah's Witnesses,"Religion, Protestant",  Jehovah's Witnesses,,,,,30.0
Religion,M1H,  Reformed Bodies,"Religion, Protestant",  Reformed Bodies,,,,,0.0
Religion,M1H,  Salvation Army,"Religion, Protestant",  Salvation Army,,,,,35.0
Religion,M1H,  Latter-day Saints (Mormons),"Religion, Protestant",  Latter-day Saints (Mormons),,,,,75.0
Religion,M1H,  Other Protestant,"Religion, Protestant",  Other Protestant,,,,,860.0
Religion,M1H,Other Religions,Other Religions,,,,,,2465.0
Religion,M1H,  Eastern Orthodox,Other Religions,  Eastern Orthodox,,,,,740.0
Religion,M1H,  Jewish,Other Religions,  Jewish,,,,,65.0
Religion,M1H,  Islam,Other Religions,  Islam,,,,,555.0
Religion,M1H,  Buddhist,Other Religions,  Buddhist,,,,,60.0
Religion,M1H,  Hindu,Other Religions,  Hindu,,,,,970.0
Religion,M1H,  Sikh,Other Religions,  Sikh,,,,,55.0
Religion,M1H,Other (other religions) (4),Other (other religions) (4),,,,,,25.0
Religion,M1H,No religious affiliation,No religious affiliation,,,,,,2230.0
Religion,M1J,"Religion, Catholic","Religion, Catholic",,,,,,10440.0
Religion,M1J,  Roman Catholic (3),"Religion, Catholic",  Roman Catholic (3),,,,,10410.0
Religion,M1J,  Ukrainian Catholic,"Religion, Catholic",  Ukrainian Catholic,,,,,30.0
Religion,M1J,"Religion, Protestant","Religion, Protestant",,,,,,11610.0
Religion,M1J,  United Church,"Religion, Protestant",  United Church,,,,,2255.0
Religion,M1J,  Anglican,"Religion, Protestant",  Anglican,,,,,3130.0
