Geo Code,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Characteristic_level_5,Count
M1K,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,495
M1K,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Humanities and related fields,,,,,,455
M1K,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Social sciences and related fields,,,,,,800
M1K,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Commerce, management and business administration",,,,,,2440
M1K,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Agricultural, biological, nutritional, and food sciences",,,,,,200
M1K,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Engineering and applied sciences,,,,,,230
M1K,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Applied science technologies and trades,,,,,,520
M1K,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Health professions and related technologies,,,,,,1320
M1K,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Mathematics, computer and physical sciences",,,,,,340
M1K,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,No specialization,,,,,,20
M1L,Total population 15 to 24 years by school attendance - 20% Sample Data,,,,,,,3100
M1L,Total population 15 to 24 years by school attendance - 20% Sample Data,Not attending school,,,,,,1025
M1L,Total population 15 to 24 years by school attendance - 20% Sample Data,Attending school full time,,,,,,1890
M1L,Total population 15 to 24 years by school attendance - 20% Sample Data,Attending school part time,,,,,,180
M1L,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,,,,,,,4620
M1L,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,120
M1L,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,190
M1L,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Humanities and related fields,,,,,,200
M1L,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Social sciences and related fields,,,,,,410
M1L,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Commerce, management and business administration",,,,,,850
M1L,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Agricultural, biological, nutritional, and food sciences",,,,,,175
M1L,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Engineering and applied sciences,,,,,,825
M1L,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Applied science technologies and trades,,,,,,1335
M1L,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Health professions and related technologies,,,,,,135
M1L,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Mathematics, computer and physical sciences",,,,,,370
M1L,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,No specialization,,,,,,10
M1L,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,,,,,,,4620
M1L,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,435
M1L,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,280
M1L,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Humanities and related fields,,,,,,350
M1L,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Social sciences and related fields,,,,,,630
M1L,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Commerce, management and business administration",,,,,,1285
M1L,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Agricultural, biological, nutritional, and food sciences",,,,,,230
M1L,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Engineering and applied sciences,,,,,,100
M1L,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Applied science technologies and trades,,,,,,275
M1L,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Health professions and related technologies,,,,,,740
M1L,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Mathematics, computer and physical sciences",,,,,,250
M1L,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,No specialization,,,,,,50
M1M,Total population 15 to 24 years by school attendance - 20% Sample Data,,,,,,,2575
M1M,Total population 15 to 24 years by school attendance - 20% Sample Data,Not attending school,,,,,,865
M1M,Total population 15 to 24 years by school attendance - 20% Sample Data,Attending school full time,,,,,,1640
M1M,Total population 15 to 24 years by school attendance - 20% Sample Data,Attending school part time,,,,,,65
M1M,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,,,,,,,4070
M1M,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,210
M1M,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,155
M1M,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Humanities and related fields,,,,,,310
M1M,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Social sciences and related fields,,,,,,400
M1M,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Commerce, management and business administration",,,,,,690
M1M,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Agricultural, biological, nutritional, and food sciences",,,,,,140
M1M,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Engineering and applied sciences,,,,,,470
M1M,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Applied science technologies and trades,,,,,,1340
M1M,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,Health professions and related technologies,,,,,,105
M1M,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,"Mathematics, computer and physical sciences",,,,,,235
M1M,Total population of males with postsecondary qualifications by major field of study - 20% Sample Data,No specialization,,,,,,15
M1M,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,,,,,,,3940
M1M,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,"Educational, recreational and counselling services",,,,,,595
M1M,Total population of females with postsecondary qualifications by major field of study - 20% Sample Data,Fine and applied arts,,,,,,280
