Geo Code,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Characteristic_level_5,Count
M1C,Total population by sex and age groups - 100% Data,"Male, total",45 to 49,,,,,1365
M1C,Total population by sex and age groups - 100% Data,"Male, total",50 to 54,,,,,1505
M1C,Total population by sex and age groups - 100% Data,"Male, total",55 to 59,,,,,1200
M1C,Total population by sex and age groups - 100% Data,"Male, total",60 to 64,,,,,895
M1C,Total population by sex and age groups - 100% Data,"Male, total",65 to 69,,,,,590
M1C,Total population by sex and age groups - 100% Data,"Male, total",70 to 74,,,,,375
M1C,Total population by sex and age groups - 100% Data,"Male, total",75 to 79,,,,,245
M1C,Total population by sex and age groups - 100% Data,"Male, total",80 to 84,,,,,110
M1C,Total population by sex and age groups - 100% Data,"Male, total",85+,,,,,65
M1C,Total population by sex and age groups - 100% Data,"Female, total",,,,,,17720
M1C,Total population by sex and age groups - 100% Data,"Female, total",0 to 4,,,,,915
M1C,Total population by sex and age groups - 100% Data,"Female, total",5 to 9,,,,,1120
M1C,Total population by sex and age groups - 100% Data,"Female, total",10 to 14,,,,,1200
M1C,Total population by sex and age groups - 100% Data,"Female, total",15 to 19,,,,,1370
M1C,Total population by sex and age groups - 100% Data,"Female, total",20 to 24,,,,,1300
M1C,Total population by sex and age groups - 100% Data,"Female, total",25 to 29,,,,,1035
M1C,Total population by sex and age groups - 100% Data,"Female, total",30 to 34,,,,,1065
M1C,Total population by sex and age groups - 100% Data,"Female, total",35 to 39,,,,,1385
M1C,Total population by sex and age groups - 100% Data,"Female, total",40 to 44,,,,,1550
M1C,Total population by sex and age groups - 100% Data,"Female, total",45 to 49,,,,,1630
M1C,Total population by sex and age groups - 100% Data,"Female, total",50 to 54,,,,,1640
M1C,Total population by sex and age groups - 100% Data,"Female, total",55 to 59,,,,,1145
M1C,Total population by sex and age groups - 100% Data,"Female, total",60 to 64,,,,,725
M1C,Total population by sex and age groups - 100% Data,"Female, total",65 to 69,,,,,535
M1C,Total population by sex and age groups - 100% Data,"Female, total",70 to 74,,,,,405
M1C,Total population by sex and age groups - 100% Data,"Female, total",75 to 79,,,,,305
M1C,Total population by sex and age groups - 100% Data,"Female, total",80 to 84,,,,,180
M1C,Total population by sex and age groups - 100% Data,"Female, total",85+,,,,,215
M1G,"Population, 2001 - 100% Data",,,,,,,30481
M1G,Total population by sex and age groups - 100% Data,,,,,,,30480
M1G,Total population by sex and age groups - 100% Data,"Male, total",,,,,,14815
M1G,Total population by sex and age groups - 100% Data,"Male, total",0 to 4,,,,,1215
M1G,Total population by sex and age groups - 100% Data,"Male, total",5 to 9,,,,,1300
M1G,Total population by sex and age groups - 100% Data,"Male, total",10 to 14,,,,,1065
M1G,Total population by sex and age groups - 100% Data,"Male, total",15 to 19,,,,,1010
M1G,Total population by sex and age groups - 100% Data,"Male, total",20 to 24,,,,,980
M1G,Total population by sex and age groups - 100% Data,"Male, total",25 to 29,,,,,975
M1G,Total population by sex and age groups - 100% Data,"Male, total",30 to 34,,,,,1120
