Geo Code,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Characteristic_level_5,Count
M1J,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,External migrants,,,,5685
M1K,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,,,,,,,48275
M1K,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Non-movers,,,,,,41200
M1K,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,,,,,,7075
M1K,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Non-migrants,,,,,4655
M1K,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,,,,,2415
M1K,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,655
M1K,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,510
M1K,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,145
M1K,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,External migrants,,,,1760
M1K,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,,,,,,,45360
M1K,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Non-movers,,,,,,25200
M1K,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,,,,,,20165
M1K,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Non-migrants,,,,,12790
M1K,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,,,,,7375
M1K,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,2055
M1K,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,1380
M1K,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,675
M1K,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,External migrants,,,,5325
M1L,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,,,,,,,27155
M1L,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Non-movers,,,,,,23765
M1L,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,,,,,,3390
M1L,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Non-migrants,,,,,2040
M1L,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,,,,,1350
M1L,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,330
M1L,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,255
M1L,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,Internal migrants,Interprovincial migrants,,,80
M1L,Total population 1 year and over by mobility status 1 year ago - 20% Sample Data,Movers,Migrants,External migrants,,,,1015
M1L,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,,,,,,,25565
M1L,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Non-movers,,,,,,13470
M1L,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,,,,,,12095
M1L,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Non-migrants,,,,,7160
M1L,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,,,,,4935
M1L,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,,,,1125
M1L,Total population 5 years and over by mobility status 5 years ago - 20% Sample Data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,,760
